time, ticks/second, set point
right motor

91158352.00, 4870.13, 600.00
91166360.00, 4870.13, 600.00
91174368.00, 4742.89, 600.00
91182384.00, 4870.13, 600.00
91190392.00, 4742.89, 600.00
91198400.00, 4745.25, 600.00
91206408.00, 4620.38, 600.00
91214416.00, 4867.70, 600.00
91222432.00, 4745.25, 600.00
91230440.00, 4742.89, 600.00
91238448.00, 4618.07, 600.00
91246464.00, 4618.07, 600.00
91254472.00, 4620.38, 600.00
91262480.00, 4620.38, 600.00
91270480.00, 4747.63, 600.00
91278496.00, 4745.25, 600.00
91286496.00, 4745.25, 600.00
91294504.00, 4747.63, 600.00
91302512.00, 4867.70, 600.00
91310528.00, 4870.13, 600.00
91318528.00, 4872.56, 600.00
91326536.00, 4995.00, 600.00
91334544.00, 4747.63, 600.00
91342552.00, 4867.70, 600.00
91350560.00, 4745.25, 600.00
91358568.00, 4870.13, 600.00
91366576.00, 4747.63, 600.00
91374576.00, 4622.69, 600.00
91382576.00, 4872.56, 600.00
91390592.00, 4745.25, 600.00
91398592.00, 4745.25, 600.00
91406608.00, 4745.25, 600.00
91414608.00, 4622.69, 600.00
91422608.00, 4622.69, 600.00
91430624.00, 4620.38, 600.00
91438648.00, 4733.43, 600.00
91446656.00, 4745.25, 600.00
91454656.00, 4747.63, 600.00
91462672.00, 4740.52, 600.00
92464296.00, 4775.26, 0.00
92472304.00, 4870.13, 0.00
92480304.00, 4872.56, 0.00
92488320.00, 4742.89, 0.00
92496336.00, 4867.70, 0.00
92504352.00, 4865.27, 0.00
92512352.00, 4620.38, 0.00
92520368.00, 4495.50, 0.00
92528368.00, 4622.69, 0.00
92536368.00, 4497.75, 0.00
92544384.00, 4243.63, 0.00
92552392.00, 4245.75, 0.00
92560400.00, 4247.88, 0.00
92568400.00, 4245.75, 0.00
92576416.00, 3996.00, 0.00
92584416.00, 3998.00, 0.00
92592424.00, 3871.13, 0.00
92600432.00, 3746.25, 0.00
92608432.00, 3748.13, 0.00
92616448.00, 3744.38, 0.00
92624456.00, 3621.38, 0.00
92632464.00, 3621.38, 0.00
92640464.00, 3623.19, 0.00
92648472.00, 3623.19, 0.00
92656496.00, 3614.16, 0.00
92664496.00, 3498.25, 0.00
92672512.00, 3494.76, 0.00
92680520.00, 3496.50, 0.00
92688528.00, 3369.94, 0.00
92696544.00, 3371.63, 0.00
92704544.00, 3371.63, 0.00
92712560.00, 3120.32, 0.00
92720568.00, 3121.88, 0.00
92728576.00, 3120.32, 0.00
92736592.00, 2997.00, 0.00
92744592.00, 2997.00, 0.00
92752608.00, 2997.00, 0.00
92760624.00, 2869.26, 0.00
92768632.00, 2621.07, 0.00
92776664.00, 2739.04, 0.00
92784672.00, 2622.38, 0.00
92792680.00, 2747.25, 0.00
92800688.00, 2621.07, 0.00
92808704.00, 2496.26, 0.00
92816712.00, 2497.50, 0.00
92824720.00, 2497.50, 0.00
92832728.00, 2372.63, 0.00
92840736.00, 2246.63, 0.00
92848752.00, 2247.75, 0.00
92856752.00, 2122.88, 0.00
92864768.00, 2122.88, 0.00
92872776.00, 2121.82, 0.00
92880784.00, 1997.00, 0.00
92888800.00, 1997.00, 0.00
92896808.00, 1998.00, 0.00
92904816.00, 1999.00, 0.00
92912816.00, 1873.13, 0.00
92920848.00, 1994.02, 0.00
92928856.00, 1872.19, 0.00
92936864.00, 1748.25, 0.00
92944880.00, 1747.38, 0.00
92952896.00, 1871.26, 0.00
92960912.00, 1746.51, 0.00
92968912.00, 1623.38, 0.00
92976920.00, 1749.13, 0.00
92984928.00, 1623.38, 0.00
92992936.00, 1498.50, 0.00
93000944.00, 1623.38, 0.00
93008952.00, 1498.50, 0.00
93016960.00, 1497.75, 0.00
93024976.00, 1373.63, 0.00
93032984.00, 1372.94, 0.00
93040992.00, 1374.31, 0.00
93048992.00, 1248.75, 0.00
93057008.00, 1248.75, 0.00
93065008.00, 1249.38, 0.00
