// This data is used to show the mapping from input to output when under no load.
// There is a dead zone region, and the mapping may not be linear.
// Ticks / second; Input (PWM units -1024 -> 1024)
0.00, -10.00
0.00, -10.00
0.00, -10.00
0.00, -10.00
0.00, -10.00
0.00, -10.00
0.00, -10.00
0.00, -10.00
0.00, -10.00
0.00, -10.00
0.00, -10.00
0.00, -10.00
0.00, -10.00
0.00, -10.00
0.00, -10.00
0.00, 0.00
0.00, 0.00
0.00, 0.00
0.00, 0.00
0.00, 0.00
0.00, 0.00
0.00, 0.00
0.00, 0.00
0.00, 0.00
0.00, 0.00
0.00, 0.00
0.00, 0.00
0.00, 0.00
0.00, 0.00
0.00, 0.00
0.00, 0.00
0.00, 0.00
0.00, 0.00
0.00, 0.00
0.00, 0.00
0.00, 10.00
0.00, 10.00
0.00, 10.00
0.00, 10.00
0.00, 10.00
0.00, 10.00
0.00, 10.00
0.00, 10.00
0.00, 10.00
0.00, 10.00
0.00, 10.00
0.00, 10.00
0.00, 10.00
0.00, 10.00
0.00, 10.00
0.00, 10.00
0.00, 10.00
0.00, 10.00
0.00, 10.00
0.00, 10.00
0.00, 20.00
0.00, 20.00
0.00, 20.00
0.00, 20.00
0.00, 20.00
0.00, 20.00
0.00, 20.00
0.00, 20.00
0.00, 20.00
0.00, 20.00
0.00, 20.00
0.00, 20.00
0.00, 20.00
0.00, 20.00
0.00, 20.00
0.00, 20.00
0.00, 20.00
0.00, 20.00
0.00, 20.00
0.00, 20.00
0.00, 30.00
0.00, 30.00
0.00, 30.00
0.00, 30.00
0.00, 30.00
0.00, 30.00
0.00, 30.00
0.00, 30.00
0.00, 30.00
0.00, 30.00
0.00, 30.00
0.00, 30.00
0.00, 30.00
0.00, 30.00
0.00, 30.00
0.00, 30.00
0.00, 30.00
0.00, 30.00
0.00, 30.00
0.00, 30.00
0.00, 40.00
0.00, 40.00
0.00, 40.00
0.00, 40.00
0.00, 40.00
0.00, 40.00
0.00, 40.00
0.00, 40.00
0.00, 40.00
0.00, 40.00
0.00, 40.00
0.00, 40.00
0.00, 40.00
0.00, 40.00
0.00, 40.00
0.00, 40.00
0.00, 40.00
0.00, 40.00
0.00, 40.00
0.00, 40.00
0.00, 50.00
0.00, 50.00
0.00, 50.00
0.00, 50.00
0.00, 50.00
0.00, 50.00
0.00, 50.00
0.00, 50.00
0.00, 50.00
0.00, 50.00
0.00, 50.00
0.00, 50.00
0.00, 50.00
0.00, 50.00
0.00, 50.00
0.00, 50.00
0.00, 50.00
0.00, 50.00
0.00, 50.00
0.00, 50.00
0.00, 60.00
0.00, 60.00
0.00, 60.00
0.00, 60.00
0.00, 60.00
0.00, 60.00
0.00, 60.00
0.00, 60.00
0.00, 60.00
0.00, 60.00
0.00, 60.00
0.00, 60.00
0.00, 60.00
0.00, 60.00
0.00, 60.00
0.00, 60.00
0.00, 60.00
0.00, 60.00
0.00, 60.00
0.00, 60.00
0.00, 70.00
0.00, 70.00
0.00, 70.00
0.00, 70.00
0.00, 70.00
0.00, 70.00
0.00, 70.00
0.00, 70.00
0.00, 70.00
0.00, 70.00
0.00, 70.00
0.00, 70.00
0.00, 70.00
0.00, 70.00
0.00, 70.00
0.00, 70.00
0.00, 70.00
0.00, 70.00
0.00, 70.00
0.00, 70.00
0.00, 80.00
0.00, 80.00
0.00, 80.00
0.00, 80.00
0.00, 80.00
0.00, 80.00
0.00, 80.00
0.00, 80.00
0.00, 80.00
0.00, 80.00
0.00, 80.00
0.00, 80.00
0.00, 80.00
0.00, 80.00
0.00, 80.00
0.00, 80.00
0.00, 80.00
0.00, 80.00
0.00, 80.00
0.00, 80.00
0.00, 90.00
0.00, 90.00
0.00, 90.00
0.00, 90.00
0.00, 90.00
0.00, 90.00
0.00, 90.00
0.00, 90.00
0.00, 90.00
0.00, 90.00
0.00, 90.00
0.00, 90.00
0.00, 90.00
0.00, 90.00
0.00, 90.00
0.00, 90.00
0.00, 90.00
0.00, 90.00
0.00, 90.00
0.00, 90.00
0.00, 100.00
0.00, 100.00
0.00, 100.00
0.00, 100.00
0.00, 100.00
0.00, 100.00
0.00, 100.00
0.00, 100.00
0.00, 100.00
0.00, 100.00
0.00, 100.00
0.00, 100.00
0.00, 100.00
0.00, 100.00
0.00, 100.00
0.00, 100.00
0.00, 100.00
0.00, 100.00
0.00, 100.00
0.00, 100.00
0.00, 110.00
0.00, 110.00
0.00, 110.00
0.00, 110.00
0.00, 110.00
0.00, 110.00
0.00, 110.00
0.00, 110.00
0.00, 110.00
0.00, 110.00
0.00, 110.00
0.00, 110.00
0.00, 110.00
90.06, 110.00
0.00, 110.00
89.90, 110.00
177.37, 110.00
88.18, 110.00
88.50, 110.00
88.50, 110.00
87.57, 120.00
88.56, 120.00
88.53, 120.00
88.50, 120.00
176.80, 120.00
176.55, 120.00
88.25, 120.00
177.05, 120.00
88.28, 120.00
176.80, 120.00
176.68, 120.00
176.43, 120.00
176.37, 120.00
176.37, 120.00
176.87, 120.00
176.30, 120.00
264.08, 120.00
176.43, 120.00
176.43, 120.00
264.92, 120.00
174.16, 130.00
264.64, 130.00
176.43, 130.00
264.64, 130.00
176.43, 130.00
264.18, 130.00
264.55, 130.00
264.36, 130.00
264.36, 130.00
265.02, 130.00
264.64, 130.00
264.55, 130.00
264.55, 130.00
264.83, 130.00
352.11, 130.00
264.64, 130.00
264.08, 130.00
264.27, 130.00
352.11, 130.00
264.55, 130.00
347.46, 140.00
264.64, 140.00
264.64, 140.00
353.11, 140.00
264.64, 140.00
352.24, 140.00
352.86, 140.00
264.55, 140.00
352.11, 140.00
352.86, 140.00
264.46, 140.00
351.99, 140.00
352.73, 140.00
352.49, 140.00
264.46, 140.00
352.11, 140.00
264.64, 140.00
352.36, 140.00
352.86, 140.00
264.64, 140.00
347.58, 150.00
264.64, 150.00
351.99, 150.00
352.11, 150.00
351.99, 150.00
352.11, 150.00
440.14, 150.00
352.98, 150.00
352.98, 150.00
441.70, 150.00
441.23, 150.00
352.73, 150.00
440.45, 150.00
440.14, 150.00
440.14, 150.00
441.07, 150.00
440.30, 150.00
528.54, 150.00
441.07, 150.00
441.23, 150.00
434.48, 160.00
528.36, 160.00
441.07, 160.00
528.73, 160.00
440.92, 160.00
527.98, 160.00
440.76, 160.00
528.36, 160.00
528.17, 160.00
440.76, 160.00
528.54, 160.00
441.07, 160.00
528.73, 160.00
528.36, 160.00
527.98, 160.00
440.76, 160.00
528.17, 160.00
528.17, 160.00
441.85, 160.00
528.73, 160.00
521.38, 170.00
528.36, 170.00
528.17, 170.00
528.91, 170.00
529.10, 170.00
528.36, 170.00
615.55, 170.00
616.20, 170.00
529.10, 170.00
616.63, 170.00
616.41, 170.00
616.20, 170.00
