// This data is used to show the mapping from input to output when under no load.
// There is a dead zone region, and the mapping may not be linear.
// Ticks / second; Input (PWM units -1024 -> 1024)
-1654.48, -220.00
-1573.43, -220.00
-1657.36, -220.00
-1661.42, -220.00
-1659.68, -220.00
-1659.68, -220.00
-1577.29, -220.00
-1657.94, -220.00
-1657.36, -220.00
-1660.26, -220.00
-1659.68, -220.00
-1659.68, -220.00
-1662.58, -220.00
-1659.68, -220.00
-1573.98, -220.00
-1655.05, -220.00
-1661.42, -220.00
-1635.67, -210.00
-1573.98, -210.00
-1657.36, -210.00
-1572.88, -210.00
-1655.63, -210.00
-1573.43, -210.00
-1573.43, -210.00
-1577.29, -210.00
-1572.33, -210.00
-1572.33, -210.00
-1489.14, -210.00
-1570.13, -210.00
-1568.49, -210.00
-1573.43, -210.00
-1484.98, -210.00
-1567.94, -210.00
-1486.53, -210.00
-1573.43, -210.00
-1486.01, -210.00
-1399.09, -210.00
-1546.92, -200.00
-1486.01, -200.00
-1399.09, -200.00
-1487.05, -200.00
-1398.60, -200.00
-1486.01, -200.00
-1398.60, -200.00
-1399.58, -200.00
-1398.60, -200.00
-1398.60, -200.00
-1402.03, -200.00
-1486.01, -200.00
-1398.60, -200.00
-1399.09, -200.00
-1399.09, -200.00
-1490.70, -200.00
-1398.60, -200.00
-1398.60, -200.00
-1402.03, -200.00
-1399.09, -200.00
-1467.54, -190.00
-1399.09, -190.00
-1399.09, -190.00
-1402.52, -190.00
-1398.11, -190.00
-1311.19, -190.00
-1398.11, -190.00
-1310.73, -190.00
-1397.62, -190.00
-1310.27, -190.00
-1311.19, -190.00
-1310.73, -190.00
-1310.73, -190.00
-1313.49, -190.00
-1309.36, -190.00
-1225.49, -190.00
-1311.19, -190.00
-1226.35, -190.00
-1310.73, -190.00
-1225.92, -190.00
-1290.43, -180.00
-1226.35, -180.00
-1223.35, -180.00
-1310.73, -180.00
-1225.92, -180.00
-1222.92, -180.00
-1138.35, -180.00
-1223.78, -180.00
-1220.36, -180.00
-1138.75, -180.00
-1135.97, -180.00
-1134.78, -180.00
-1135.97, -180.00
-1135.97, -180.00
-1141.55, -180.00
-1051.16, -180.00
-1135.57, -180.00
-1050.79, -180.00
-1135.97, -180.00
-1051.52, -180.00
-1037.34, -170.00
-1048.58, -170.00
-1048.58, -170.00
-1053.00, -170.00
-964.24, -170.00
-967.29, -170.00
-965.25, -170.00
-1052.63, -170.00
-875.96, -170.00
-964.91, -170.00
-966.95, -170.00
-879.04, -170.00
-968.31, -170.00
-879.04, -170.00
-879.97, -170.00
-879.35, -170.00
-879.66, -170.00
-879.04, -170.00
-791.42, -170.00
-877.19, -170.00
-867.75, -160.00
-791.97, -160.00
-877.50, -160.00
-792.53, -160.00
-791.42, -160.00
-791.14, -160.00
-876.89, -160.00
-791.42, -160.00
-791.14, -160.00
-791.70, -160.00
-791.70, -160.00
-705.72, -160.00
-789.75, -160.00
-791.70, -160.00
-791.70, -160.00
-705.72, -160.00
-790.86, -160.00
-789.47, -160.00
-703.23, -160.00
-791.42, -160.00
-781.25, -150.00
-703.73, -150.00
-791.42, -150.00
-703.48, -150.00
-703.23, -150.00
-702.99, -150.00
-702.99, -150.00
-705.47, -150.00
-703.48, -150.00
-703.48, -150.00
-617.07, -150.00
-703.73, -150.00
-615.55, -150.00
-615.55, -150.00
-704.72, -150.00
-616.63, -150.00
-615.33, -150.00
-615.33, -150.00
-616.85, -150.00
-615.55, -150.00
-607.43, -140.00
-615.33, -140.00
-615.11, -140.00
-614.68, -140.00
-614.90, -140.00
-528.73, -140.00
-527.61, -140.00
-615.33, -140.00
-528.73, -140.00
-527.61, -140.00
-527.43, -140.00
-440.45, -140.00
-527.43, -140.00
-440.45, -140.00
-527.43, -140.00
-440.76, -140.00
-439.68, -140.00
-527.61, -140.00
-440.76, -140.00
-440.76, -140.00
-436.15, -130.00
-439.37, -130.00
-439.37, -130.00
-440.14, -130.00
-439.83, -130.00
-440.45, -130.00
-352.61, -130.00
-439.68, -130.00
-352.61, -130.00
-439.52, -130.00
-439.68, -130.00
-352.36, -130.00
-439.37, -130.00
-352.36, -130.00
-439.52, -130.00
-352.61, -130.00
-439.68, -130.00
-352.61, -130.00
-439.68, -130.00
-352.61, -130.00
-347.22, -120.00
-439.37, -120.00
-352.36, -120.00
-351.62, -120.00
-439.52, -120.00
-352.61, -120.00
-351.62, -120.00
-439.52, -120.00
-352.73, -120.00
-352.61, -120.00
-352.24, -120.00
-439.37, -120.00
-352.49, -120.00
-352.24, -120.00
-351.62, -120.00
-439.37, -120.00
-352.61, -120.00
-352.49, -120.00
-352.24, -120.00
-352.49, -120.00
-347.83, -110.00
-351.49, -110.00
-351.37, -110.00
-351.74, -110.00
-351.62, -110.00
-264.36, -110.00
-351.74, -110.00
-352.61, -110.00
-264.27, -110.00
-264.36, -110.00
-351.37, -110.00
-264.27, -110.00
-264.27, -110.00
-264.36, -110.00
-263.71, -110.00
-263.71, -110.00
-264.46, -110.00
-264.36, -110.00
-264.27, -110.00
-264.27, -110.00
-174.40, -100.00
-263.90, -100.00
-264.36, -100.00
-176.12, -100.00
-263.81, -100.00
-176.30, -100.00
-176.37, -100.00
-175.87, -100.00
-175.99, -100.00
-263.81, -100.00
-176.24, -100.00
-176.24, -100.00
-88.31, -100.00
-176.87, -100.00
-176.24, -100.00
-176.12, -100.00
-88.09, -100.00
-177.12, -100.00
-88.15, -100.00
-176.55, -100.00
-174.09, -90.00
-88.59, -90.00
-177.43, -90.00
-88.59, -90.00
-177.37, -90.00
-88.59, -90.00
-88.90, -90.00
-88.97, -90.00
-177.43, -90.00
0.00, -90.00
-179.92, -90.00
-88.56, -90.00
0.00, -90.00
-89.96, -90.00
-88.68, -90.00
-88.90, -90.00
0.00, -90.00
0.00, -90.00
-90.42, -90.00
0.00, -90.00
-88.90, -80.00
-88.94, -80.00
0.00, -80.00
-90.12, -80.00
-88.87, -80.00
-88.87, -80.00
0.00, -80.00
0.00, -80.00
0.00, -80.00
0.00, -80.00
0.00, -80.00
0.00, -80.00
0.00, -80.00
0.00, -80.00
0.00, -80.00
0.00, -80.00
0.00, -80.00
0.00, -80.00
0.00, -80.00
0.00, -80.00
0.00, -70.00
0.00, -70.00
0.00, -70.00
0.00, -70.00
0.00, -70.00
0.00, -70.00
0.00, -70.00
0.00, -70.00
0.00, -70.00
0.00, -70.00
0.00, -70.00
0.00, -70.00
0.00, -70.00
0.00, -70.00
0.00, -70.00
0.00, -70.00
0.00, -70.00
0.00, -70.00
0.00, -70.00
0.00, -70.00
-89.16, -60.00
0.00, -60.00
0.00, -60.00
0.00, -60.00
0.00, -60.00
0.00, -60.00
0.00, -60.00
0.00, -60.00
0.00, -60.00
0.00, -60.00
0.00, -60.00
0.00, -60.00
0.00, -60.00
0.00, -60.00
0.00, -60.00
0.00, -60.00
0.00, -60.00
0.00, -60.00
0.00, -60.00
0.00, -60.00
0.00, -50.00
0.00, -50.00
0.00, -50.00
0.00, -50.00
0.00, -50.00
0.00, -50.00
0.00, -50.00
0.00, -50.00
0.00, -50.00
0.00, -50.00
0.00, -50.00
0.00, -50.00
0.00, -50.00
0.00, -50.00
0.00, -50.00
0.00, -50.00
0.00, -50.00
0.00, -50.00
0.00, -50.00
0.00, -50.00
0.00, -40.00
0.00, -40.00
0.00, -40.00
0.00, -40.00
0.00, -40.00
0.00, -40.00
0.00, -40.00
0.00, -40.00
0.00, -40.00
0.00, -40.00
0.00, -40.00
0.00, -40.00
0.00, -40.00
0.00, -40.00
0.00, -40.00
0.00, -40.00
0.00, -40.00
0.00, -40.00
0.00, -40.00
0.00, -40.00
0.00, -30.00
0.00, -30.00
0.00, -30.00
0.00, -30.00
0.00, -30.00
0.00, -30.00
